DUMMY,DUMMY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,69,5.112867611,28.61612305,0,1,0,0,0.7,1,0.01,45,7,8.71558E+11,0.25,0,0.25,0,0.3,,1.10,0
1,70,4.940865151,30.68536529,0,1,0,0,0.7,1,0.01,45,7,850457794.3,0.25,0,0.25,0,0.3,,6.08,0
1,71,4.803825487,31.39832043,0,1,0,0,0.7,1,0.01,45,8,48039744.45,0.25,0,0.25,0,0.3,,6.13,0
1,72,5.494745573,24.08009241,0,1,0,0,0.7,1,0.01,45,5,78749409799,0.25,0,0.25,0,0.3,,1.09,0
1,73,4.936068698,22.39087078,0,1,0,0,0.7,1,0.01,45,8,13475752490,0.25,0,0.25,0,0.3,,1.55,0
1,74,5.178805568,29.35107413,0,1,0,0,0.7,1,0.01,45,8,3.0362E+14,0.25,0,0.25,0,0.3,,0.26,0
1,75,4.981440328,24.56541909,0,1,0,0,0.7,1,0.01,45,8,6415158.691,0.25,0,0.25,0,0.3,,10.57,0
1,76,5.343842989,36.69545243,0,1,0,0,0.7,1,0.01,45,8,27300116852,0.25,0,0.25,0,0.3,,2.76,0
1,77,5.333802504,13.43710328,0,1,0,0,0.7,1,0.01,45,7,1.29147E+15,0.25,0,0.25,0,0.3,,0.10,0
1,78,5.108689712,28.36776384,0,1,0,0,0.7,1,0.01,45,7,37796060406,0.25,0,0.25,0,0.3,,1.21,0
1,79,5.03183759,26.20253052,0,1,0,0,0.7,1,0.01,45,7,1.11958E+14,0.25,0,0.25,0,0.3,,0.32,0
1,80,5.3756014,28.69389499,0,1,0,0,0.7,1,0.01,45,5,51549287634,0.25,0,0.25,0,0.3,,1.12,0
1,81,3.113693104,65.58658302,0,1,0,0,0.7,1,0.01,45,9,1.5641E+16,0.25,0,0.25,0,0.3,,0.03,0
1,82,4.425003373,31.66549283,0,1,0,0,0.7,1,0.01,45,9,3.60977E+15,0.25,0,0.25,0,0.3,,0.12,0
1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0
1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0
1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.00,0
2,1,6.38848,49.31147467,0,0.75,1,0,0.6,0.9,0.11,26,3,0,0.25,0,0.25,0.012320993,0.3,,14.75,0
2,2,5.712,47.70412885,0,0.65,0.01,0,0.494912676,0.8,0.035,28,5,0,0.25,0,0.25,0.001429142,0.3,,17.29,0
2,3,5.4264,50,0,0.75,0.03,0,0.972446938,0.9,0.09,27,4,0,0.25,0,0.25,0.001953194,0.3,,18.20,0
2,4,5.9024,85,0,0.65,0.01,0,0.569465432,0.8,0.035,28,8,0,0.25,0,0.25,0.011489492,0.3,,8.49,0
2,5,5.9024,85,0,0.65,0.01,0,0.513231396,0.8,0.035,29,9,0,0.25,0,0.25,0.000789204,0.3,,16.21,0
2,6,6.2356,120,0,0.65,0.01,0,0.540830338,0.8,0.035,30,9,0,0.25,0,0.25,0.05173343,0.3,,4.79,0
2,7,5.193457334,47.70412885,0,0.6,0.01,0,0.493570621,0.8,0.01,50,5,14.64584028,0.25,0,0.25,0.000132166,0.3,,26.47,0
2,8,5.8548,85,0,0.6,0.01,0,0.568761297,0.8,0.01,50,7,107.4962092,0.25,0,0.25,0.00033118,0.3,,18.12,0
2,9,5.8072,85,0,0.6,0.01,0,0.512779637,0.8,0.01,50,7,851.3463064,0.25,0,0.25,0.000139852,0.3,,22.91,0
2,10,6.2356,120,0,0.6,0.01,0,2.11013E-11,0.8,0.01,50,4,605.7932417,0.25,0,0.25,0.0003881,0.3,,17.39,0
2,11,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,12,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,13,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,14,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,16,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,17,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,18,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,19,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,20,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,21,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,22,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,23,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,24,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
2,26,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.3,,0.00,0
3,1,6.2685,15,0,0.9,1,0,0.699999996,0.7,0.13,35,2,0,0.25,0,0.25,19.12256775,0.3,,2.33,0
3,2,6.208,9,0,0.9,1,0,0.54981516,0.7,0.13,35,1,0,0.25,0,0.25,0.338990694,0.3,,7.43,0
3,3,5.408,20,0,0.2,0.14,0,0.091137977,1,0,34,6,0,0.25,0,0.25,1.3452E-05,0.3,,75.71,0
3,4,5.928,55,0,0.2,0.14,0,0.107108107,1,0,34,7,0,0.25,0,0.25,0.009493728,0.3,,9.38,0
3,5,5.824,55,0,0.2,0.01,0,0.144301257,1,0.01,34,7,0,0.25,0,0.25,11.14410283,0.3,,1.09,0
3,6,6.7,30,0,0.9,1,0,0.699999996,0.7,0.09,30,2,0,0.25,0,0.25,0,0.3,,0.00,0
3,7,6,10.1,0,0.9,1,0,0.54981516,0.6,0.09,30,1,0,0.25,0,0.25,0,0.3,,0.00,0
